"serlet" "county" "pagval2_10" "pagval10_50" "pagval50p" "cowspacre" "ocattlepacre" "pigspacre" "sheeppacre" "townvillp" "carspcap" "radiopcap" "retailpcap" "psinglem30_34" "rainfall"
"A" "Carlow" 31.8 46.9 21.3 67 252 56 531 40.2 43 169 66 60.3 945.4
"B" "Cavan" 40.1 56 3.9 99 231 97 56 17.3 26 56 49 73.4 970.7
"C" "Clare" 38.8 54.4 6.8 110 285 32 116 24.4 22 67 28 68.3 1145.4
"D" "Cork" 33.2 50.4 16.4 146 256 137 148 52.6 38 130 66 60.1 1204
"E" "Donegal" 69.8 25.9 4.2 102 248 22 463 18.9 21 80 45 62.4 1338
"F" "Dublin" 41.2 33.4 25.4 108 268 110 236 94.8 49 185 117 40.8 NA
"G" "Galway" 45.7 50.9 3.4 69 239 44 801 28.1 22 87 40 69.1 1144
"H" "Kerry" 51.4 45.1 3.5 194 283 84 354 26.7 20 76 41 68.2 1413.6
"I" "Kildare" 34 41.5 24.5 52 290 28 184 29.2 40 123 54 53.5 765.1
"J" "Kilkenny" 25 50.6 24.4 91 283 63 157 31.1 41 82 45 64.8 951.9
"K" "Laoghis" 32.7 51.7 15.6 69 269 54 87 26.7 38 121 46 67.2 908.7
"L" "Leitrim" 60.2 38.4 1.4 102 231 37 84 13.7 20 70 29 73.4 1237.7
"M" "Limerick" 33.3 47.5 19.2 181 277 68 36 48.2 32 158 53 55.2 1087.6
"N" "Longford" 40.4 51.8 7.8 74 290 49 75 21.3 32 111 44 68.6 989.75
"O" "Louth" 36 48.2 15.8 69 285 55 204 63 37 200 78 51 887.05
"P" "Mayo" 68 30.8 1.2 97 289 50 393 18.5 17 84 37 67.4 1290.75
"Q" "Meath" 32 48.8 19.2 55 351 23 252 17.5 49 116 53 62.1 826.15
"R" "Monaghan" 31.8 61.9 6.3 85 235 101 39 24.6 32 80 70 69.7 935.4
"S" "Offaly" 31.2 55.7 13.1 55 262 50 112 35.6 33 110 55 65.2 892.45
"T" "Roscommon" 44.6 51.7 3.7 66 275 24 299 13.2 22 115 28 74.9 1063.75
"U" "Sligo" 48.9 48.1 3 92 266 30 205 29.7 24 102 42 67 1104.4
"V" "Tipperary" 28.3 52.1 19.6 107 312 52 140 36.5 41 127 56 62.8 978.7
"W" "Waterford" 34.3 39.1 26.6 122 292 96 199 56.4 41 164 74 54.6 1124
"X" "Westmeath" 28.4 54.4 17.2 43 323 25 188 35.8 37 157 57 56.9 954.5
"Y" "Wexford" 27 52.1 20.8 64 219 68 288 34.6 34 122 66 56.4 1052.3
"Z" "Wicklow" 34.7 46.3 19 79 212 44 528 49.8 36 102 65 50.4 1212.45
