from to weight
A I 0.0039
A J 0.0142
A K 0.0031
A Y 0.0112
A Z 0.0119
B L 0.0099
B N 0.0061
B Q 0.0089
B R 0.0113
B X 0.0006
C G 0.0134
C H 0.0018
C M 0.0103
C V 0.0028
D H 0.0125
D M 0.0084
D V 0.0008
D W 0.0030
E L 0.0186
G C 0.0087
G P 0.0068
G S 0.0010
G T 0.0079
G V 0.0013
H C 0.0021
H D 0.0175
H M 0.0046
I A 0.0034
I K 0.0081
I Q 0.0063
I S 0.0068
I Z 0.0110
J A 0.0111
J K 0.0088
J V 0.0086
J W 0.0051
J Y 0.0044
K A 0.0025
K I 0.0074
K J 0.0090
K S 0.0185
K V 0.0033
L B 0.0106
L E 0.0008
L N 0.0055
L T 0.0079
L U 0.0098
M C 0.0080
M D 0.0077
M H 0.0030
M V 0.0095
N B 0.0079
N L 0.0067
N T 0.0105
N X 0.0232
O Q 0.0324
O R 0.0134
P G 0.0094
P T 0.0049
P U 0.0100
Q B 0.0083
Q I 0.0052
Q O 0.0087
Q R 0.0008
Q S 0.0008
Q X 0.0086
R B 0.0319
R O 0.0109
R Q 0.0023
S G 0.0012
S I 0.0044
S K 0.0134
S Q 0.0006
S T 0.0010
S V 0.0062
S X 0.0088
T G 0.0088
T L 0.0049
T N 0.0054
T P 0.0039
T S 0.0009
T U 0.0054
T X 0.0015
U L 0.0100
U P 0.0133
U T 0.0089
V C 0.0016
V D 0.0006
V G 0.0012
V J 0.0047
V K 0.0018
V M 0.0071
V S 0.0046
V W 0.0055
W D 0.0051
W J 0.0071
W V 0.0140
W Y 0.0023
X B 0.0006
X N 0.0179
X Q 0.0092
X S 0.0120
X T 0.0022
Y A 0.0165
Y J 0.0083
Y W 0.0032
Y Z 0.0108
Z A 0.0139
Z I 0.0146
Z Y 0.0086
